"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
192,"05698174","味榮食品工業股份有限公司","臺中市豐原區三村里西勢路701號","許宗琳",30000000,"1021208"
193,"05698998","福泰營造股份有限公司","臺中市西屯區西屯路二段256巷6號15樓之5","謝銘聰",100000000,"1021230"
194,"05701564","三正貿易有限公司","臺北市萬華區洛陽街9號9樓之9","莊敏慧",12000000,"1021231"
195,"05706028","翰亞興業有限公司","臺北市文山區新光路1段142號","陳偉銘",10000000,"1021205"
196,"05712324","鴻琪股份有限公司","臺北市中正區仁愛路2段62號6樓","黃楚琪",70000000,"1021224"
197,"05721512","茂康股份有限公司","臺北市大同區長安西路106號11樓之1","高瑞隆",53760000,"1021220"
198,"05792023","昆陽實業股份有限公司","臺中市清水區下湳里菁埔路290號","李沛勳",23100000,"1021230"
199,"05793677","富騏實業股份有限公司","臺中市梧棲區草湳里梧南路3之1號1樓","蔡條雄",16000000,"1021227"
200,"05796772","誠岱機械廠股份有限公司","臺中市大甲區武陵里文曲路173號","潘義德",210000000,"1021226"
201,"05833191","嘉澤水電工程股份有限公司","臺中市太平區中興里太平28街1號1樓","",20000000,"1021209"
202,"05839152","明係事業股份有限公司","彰化縣芬園鄉楓坑村楓林街229號","江永平",150000000,"1021225"
203,"05839879","忠宏鋼鐵股份有限公司","臺中市太平區太平里永豐路131巷15號","陳泰森",25000000,"1021221"
204,"05871103","皓強企業有限公司","臺中市豐原區中山路510巷15號7樓","吳富亭",6000000,"1021207"
205,"05964313","晟青企業有限公司","彰化縣埔鹽鄉好修村員鹿路二段3巷10號1樓","巫晟豪",10000000,"1021204"
206,"06032795","致力工業有限公司","南投縣南投市新興里仁和路143號","何幼華",29200000,"1021223"
207,"06076060","樺弘實業股份有限公司","臺中市中區光復路十九號壹樓","廖坤淙",1000000,"1021231"
208,"06081486","方冠生物科技股份有限公司","南投縣名間鄉濁水村員集路1-13號","杜正行",10000000,"1021204"
209,"06285361","三芳印刷企業有限公司","嘉義縣大林鎮東林里中山路206號","沈素禎",1100000,"1021220"
210,"06379557","系門企業有限公司","臺南市中西區民生路1段167號10樓3室","孫儷珍",1000000,"1021224"
211,"06385087","瑞晃企業股份有限公司","臺南市南區大同路2段640巷84號","蔡蕙蓉",2500000,"1021230"
212,"06593629","聞祺企業有限公司","臺南市南區新平路14號","王金滿",45000000,"1021216"
213,"06668108","亞鉑化工股份有限公司","高雄市苓雅區英明路124號14樓之4","謝正雄",50000000,"1021226"
214,"06669893","聯丞室內裝修有限公司","高雄市前金區成功一路308號6樓","吳美虹",13350000,"1021227"
215,"06724404","達遠塑膠企業股份有限公司","高雄市仁武區仁心路319號","邱淑嬌",60000000,"1021211"
216,"06725804","樹盛金屬有限公司","高雄市仁武區竹後里竹業巷6號","王德輝",159380000,"1021206"
217,"06783141","八釆有限公司","高雄市苓雅區永康里福安路234號1樓","周建成",4800000,"1021224"
218,"07053500","中孚染料股份有限公司","桃園縣桃園市復興路180號7樓Ｇ室","洪正成",85500000,"1021204"
219,"07069714","勝益食品廠有限公司","臺北市大同區迪化街144號146號1樓","李興順",5000000,"1021230"
220,"07126004","國茶企業股份有限公司","臺北市大同區延平北路2段83號10樓","鄭翔中",123120000,"1021204"
221,"07217617","東茂電機股份有限公司","新北市土城區大同街14號","王廖金枝",10000000,"1021213"
222,"07220710","宏洲化學工業股份有限公司","臺北市大同區塔城街66號8樓","陳玉明",1701874240,"1021218"
223,"07313409","威靈頓股份有限公司","新北市新店區北新路1段10號16樓","袁小羊",40000000,"1021212"
224,"07407200","富順纖維工業股份有限公司","臺北市大同區塔城街64號8樓","陳玉進",600000000,"1021218"
225,"07542705","德隆纖維工業股份有限公司","臺北市中山區南京東路2段53號4樓","陳智雄",14000000,"1021202"
226,"07568009","環球水泥股份有限公司","臺北市中山區南京東路2段125號10樓","侯博義",6038919080,"1021216"
227,"07600556","華國五金有限公司","新北市五股區五工二路120號(1樓)","王德勝",29500000,"1021231"
228,"07602132","永安鐘錶有限公司","臺北市大同區延平北路2段2號1樓","黃偉誠",16000000,"1021211"
229,"07608430","建毅工業股份有限公司","桃園縣八德市廣福路601號","李春瀾",28000000,"1021224"
230,"07621898","資益電器有限公司","臺北市大同區延平北路2段272巷28號","陳光海",5000000,"1021211"
231,"07626351","隆泰染織股份有限公司","桃園縣楊梅市楊新路三段4巷19號","李勝華",13500000,"1021205"
232,"07633347","中日交通標誌有限公司","臺北市大同區民生西路362巷8號","曾吳美佐",11000000,"1021226"
233,"07641938","吉鴻有限公司","臺北市大同區承德路3段23號1樓","林志信",1500000,"1021203"
234,"07663691","冠翁企業股份有限公司","臺北市大同區重慶北路3段295巷32號1樓","張嘉麟",3000000,"1021231"
235,"07673902","貿瑞企業有限公司","臺北市松山區復興南路1段1號6樓之5","張蔡淑琴",5000000,"1021216"
236,"07678250","台灣耐力股份有限公司","臺北市大同區庫倫街8號1樓","汪楠彬",8000000,"1021231"
237,"07692555","同山貿易有限公司","臺北市萬華區莒光路225號6樓","陳建男",15000000,"1021206"
238,"07718680","彩力染整股份有限公司","桃園縣蘆竹鄉坑口村海山路636號","蘇慶福",191691680,"1021213"
239,"07723369","春茂實業股份有限公司","臺北市大同區西寧北路83號11樓之1","溫樹林",28560000,"1021226"
240,"07729080","美嘉生電股份有限公司","高雄市三民區陽明路26號6樓","蘇慶華",277038910,"1021212"
241,"07730734","元泰布業有限公司","臺北市大同區南京西路239巷21號","白政雄",1000000,"1021224"
242,"07735338","毓暉實業股份有限公司","臺北市大同區重慶北路1段22號12樓","姚宗禮",60000000,"1021206"
243,"07737547","冠順染整股份有限公司","臺北市大同區承德路2段81號7樓之3","李羿溱",51000000,"1021206"
244,"07838854","中鴻鋼鐵股份有限公司","高雄市橋頭區芋寮里芋寮路317號","陳玉松",14355444460,"1021217"
245,"07861475","欣雄天然氣股份有限公司","高雄市鳳山區國泰路1段99號","朱坤塗",1128324960,"1021209"
246,"08121837","花蓮縣肉品市場股份有限公司","花蓮縣鳳林鎮林榮路338號","蔡運煌",3000000,"1021220"
247,"09410531","技電股份有限公司","新北市新店區民權路108之2號6樓","彭海華",50000000,"1021225"
248,"09413256","吉甲實業股份有限公司","臺北市中正區羅斯福路2段140號11樓之2","薛民康",30000000,"1021220"
249,"09416747","全崴科技有限公司","新北市三重區光華路34號","陳永修",16000000,"1021209"
250,"09417611","久聯企業股份有限公司","臺北市中正區新生南路1段158號9樓","林鳳棋",40000000,"1021205"
251,"09424211","富莊貿易有限公司","臺北市中山區新生北路3段7號9樓之1","林蘇金足",12000000,"1021223"
252,"09424319","藍天電腦股份有限公司","新北市三重區興德路129號","許崑泰",6891630000,"1021204"
