SiteName,MonitorDate,Concentration,ItemUnit
嘉義,2019-11-11,31,μg/m3
朴子,2019-11-11,29,μg/m3
斗六,2019-11-11,33,μg/m3
南投,2019-11-11,,μg/m3
彰化,2019-11-11,25,μg/m3
忠明,2019-11-11,24,μg/m3
豐原,2019-11-11,22,μg/m3
三義,2019-11-11,17,μg/m3
苗栗,2019-11-11,,μg/m3
新竹,2019-11-11,15,μg/m3
竹東,2019-11-11,16,μg/m3
平鎮,2019-11-11,14,μg/m3
桃園,2019-11-11,14,μg/m3
萬華,2019-11-11,13,μg/m3
士林,2019-11-11,13,μg/m3
板橋,2019-11-11,13,μg/m3
汐止,2019-11-11,15,μg/m3
基隆,2019-11-11,13,μg/m3
馬公,2019-11-08,15,μg/m3
金門,2019-11-08,20,μg/m3
馬祖,2019-11-08,19,μg/m3
宜蘭,2019-11-08,11,μg/m3
陽明,2019-11-08,,μg/m3
花蓮,2019-11-08,10,μg/m3
臺東,2019-11-08,10,μg/m3
恆春,2019-11-08,10,μg/m3
屏東,2019-11-08,30,μg/m3
前金,2019-11-08,24,μg/m3
美濃,2019-11-08,24,μg/m3
臺南,2019-11-08,19,μg/m3
新營,2019-11-08,19,μg/m3
嘉義,2019-11-08,19,μg/m3
朴子,2019-11-08,18,μg/m3
斗六,2019-11-08,18,μg/m3
南投,2019-11-08,14,μg/m3
彰化,2019-11-08,14,μg/m3
忠明,2019-11-08,12,μg/m3
豐原,2019-11-08,11,μg/m3
三義,2019-11-08,11,μg/m3
苗栗,2019-11-08,13,μg/m3
新竹,2019-11-08,13,μg/m3
竹東,2019-11-08,11,μg/m3
平鎮,2019-11-08,13,μg/m3
桃園,2019-11-08,12,μg/m3
萬華,2019-11-08,12,μg/m3
士林,2019-11-08,11,μg/m3
板橋,2019-11-08,12,μg/m3
汐止,2019-11-08,12,μg/m3
基隆,2019-11-08,11,μg/m3
馬公,2019-11-05,20,μg/m3
金門,2019-11-05,25,μg/m3
馬祖,2019-11-05,25,μg/m3
宜蘭,2019-11-05,13,μg/m3
陽明,2019-11-05,13,μg/m3
花蓮,2019-11-05,11,μg/m3
臺東,2019-11-05,10,μg/m3
恆春,2019-11-05,10,μg/m3
屏東,2019-11-05,38,μg/m3
前金,2019-11-05,29,μg/m3
美濃,2019-11-05,35,μg/m3
臺南,2019-11-05,20,μg/m3
新營,2019-11-05,19,μg/m3
嘉義,2019-11-05,19,μg/m3
朴子,2019-11-05,20,μg/m3
斗六,2019-11-05,16,μg/m3
南投,2019-11-05,14,μg/m3
彰化,2019-11-05,14,μg/m3
忠明,2019-11-05,13,μg/m3
豐原,2019-11-05,11,μg/m3
三義,2019-11-05,12,μg/m3
苗栗,2019-11-05,15,μg/m3
新竹,2019-11-05,17,μg/m3
竹東,2019-11-05,13,μg/m3
平鎮,2019-11-05,18,μg/m3
桃園,2019-11-05,18,μg/m3
萬華,2019-11-05,18,μg/m3
士林,2019-11-05,16,μg/m3
板橋,2019-11-05,17,μg/m3
汐止,2019-11-05,17,μg/m3
基隆,2019-11-05,17,μg/m3
馬公,2019-11-02,12,μg/m3
金門,2019-11-02,16,μg/m3
