MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
E01247,LE108-05-001,2019-05-08,高雄市,苓雅區,高雄市苓雅區三多二路100號附近,落地型變壓器,21.75,mG,True
O01102,新竹市育英路落地型變壓器量測,2019-05-13,新竹市,北區,新竹市育英路72號前(近天公壇),落地型變壓器,5.36,mG,True
O01100,新竹市中華路四段226巷頂埔國小前落地型變壓器量測,2019-05-13,新竹市,香山區,新竹市中華路四段226巷頂埔國小前,落地型變壓器,1.79,mG,True
O01099,新竹市中山路640巷落地型變壓器量測,2019-05-13,新竹市,香山區,新竹市中山路640巷270號前,落地型變壓器,2.36,mG,True
O01098,新竹市中華路四段與華北路路口落地型變壓器量測,2019-05-13,新竹市,香山區,新竹市中華路四段與華北路路口,落地型變壓器,10.96,mG,True
U10566,華興街120巷11-2號旁落地型變壓器量測,2019-05-07,花蓮縣,花蓮市,華興街120巷11-2號旁,落地型變壓器,17.2,mG,True
N01055,彰化縣溪湖鎮員鹿路二段130號 (7-11),2019-05-21,彰化縣,溪湖鎮,員鹿路二段130號,無線區域網路(Wi-Fi),0.0019,mW/cm<sup>2</sup>,True
N01054,溪湖國中旁落地型變壓器,2019-05-21,彰化縣,溪湖鎮,彰水路四段60號,落地型變壓器,5.39,mG,True
N01053,湖東國小前落地型變壓器,2019-05-21,彰化縣,溪湖鎮,大溪路二段423號,落地型變壓器,38.23,mG,True
N01052,村上國小旁落地型變壓器,2019-05-21,彰化縣,大村鄉,中山路二段242號,落地型變壓器,16.78,mG,True
I00764,中山路390號前落地型變壓器,2019-05-10,嘉義市,東區,中山路390號,落地型變壓器,23.55,mG,True
O01116,新竹市延平路二段落地型變壓器量測,2019-05-17,新竹市,香山區,新竹市延平路二段(近海巡署北部分署第八岸巡隊),落地型變壓器,7.98,mG,True
D01093,臺南市六甲區龜子港21號山隆加油站(六甲站)東北方附近,2019-05-09,臺南市,六甲區,臺南市六甲區龜子港21號山隆加油站(六甲站),手機基地臺,5.7E-06,mW/cm<sup>2</sup>,True
O01106,新竹市中山路500號對面落地型變壓器量測,2019-05-15,新竹市,北區,新竹市中山路500號對面,落地型變壓器,5.89,mG,True
O01105,新竹市頂埔路落地型變壓器量測,2019-05-15,新竹市,香山區,新竹市頂埔路與景觀大道路口,落地型變壓器,2.09,mG,True
O01107,新竹市牛埔路237巷口落地型變壓器量測,2019-05-15,新竹市,香山區,新竹市牛埔路237巷口,落地型變壓器,10.23,mG,True
O01103,新竹市香山區育德街行政大樓前落地型變壓器量測,2019-05-15,新竹市,香山區,新竹市香山區育德街行政大樓前,落地型變壓器,2.98,mG,True
O01095,新竹市中華路4段與台灣玻璃對面落地型變壓器量測,2019-05-13,新竹市,香山區,新竹市中華路4段與台灣玻璃對面,落地型變壓器,3.4,mG,True
O01115,新竹市延平路二段865號對面落地型變壓器量測,2019-05-17,新竹市,香山區,新竹市延平路二段865號對面,落地型變壓器,5.53,mG,True
O01117,新竹市香山區延平路二段華江街路口量測,2019-05-17,新竹市,香山區,新竹市香山區延平路二段華江街路口,落地型變壓器,12.58,mG,True
O01111,新竹市延平路二段865巷口落地型變壓器量測,2019-05-17,新竹市,香山區,新竹市延平路二段865巷口(空軍圍牆旁),落地型變壓器,4.89,mG,True
O01110,新竹市延平路二段681號前落地型變壓器量測,2019-05-17,新竹市,香山區,新竹市延平路二段681號前(指澤宮前),落地型變壓器,12.85,mG,True
