工作地址,發證日期起,發證日期迄,職類等級,任職單位
"臺中市南屯區文心路一段538-1號","1041111","1081110","中餐烹調丙級","新阿杜風味有限公司"
"臺北市內湖區舊宗路一段150巷25號2樓","1041111","1081110","中餐烹調丙級","王品餐飲股份有限公司夏慕尼台北內湖公司"
"新北市板橋區文化路一段311之16號","1041111","1081110","中餐烹調丙級","夢饗小吃"
"臺北市松山區光復北路95號1F","1041111","1081110","中餐烹調丙級","王品餐飲股份有限公司夏慕尼台北光復北分公司"
"臺北市松山區光復北路95號1F","1041111","1081110","中餐烹調丙級","王品餐飲股份有限公司夏慕尼台北光復北分公司"
"臺北市松山區光復北路95號1F","1041111","1081110","中餐烹調丙級","王品餐飲股份有限公司夏慕尼台北光復北分公司"
"屏東縣東港鎮興農里(路)1-23號","1041112","1081111","中餐烹調丙級","天青合食品股份有限公司"
"屏東縣東港鎮興農里(路)1-23號","1041112","1081111","中餐烹調丙級","天青合食品股份有限公司"
"雲林縣斗六市雲林路2段297號","1041111","1081110","中餐烹調丙級","王品餐飲斗六家樂福"
"雲林縣西螺鎮福田里社口68-19號","1050718","1090717","中餐烹調丙級","梅景食品股份有限公司"
"宜蘭縣礁溪鄉武暖路121號","1050725","1090724","中餐烹調丙級","武暖小吃部"
"新北市三重區正義南路55號2樓","1050721","1090720","中餐烹調丙級","王品餐飲股份有限公司"
"臺中市北屯區三光一街77號","1050721","1090720","中餐烹調丙級","梅景食品(股)公司"
"新北市板橋區新站路16號48樓","1050721","1090720","中餐烹調乙級","鼎鼎大飯店股份有限公司板橋營業所"
"臺中市大雅區中山北路3號","1050721","1090720","中餐烹調丙級","勝騏食品工廠有限公司"
"臺中市大雅區中山北路3號","1050721","1090720","中餐烹調丙級","勝騏食品工廠有限公司"
"臺北市中山區中山北路二段63號","1050721","1090720","中餐烹調丙級","國賓大飯店股份有限公司-台北分公司"
"高雄市苓雅區自強三路1號37-85樓(85大樓)","1050721","1090720","中餐烹調丙級","君鴻國際酒店股份有限公司"
"臺北市大安區光復南路286號B1","1050722","1090721","中餐烹調丙級","王品餐飲股份有限公司(陶板屋)光復南分公司"
"臺北市大安區光復南路286號B1","1050722","1090721","西餐烹調丙級","王品餐飲股份有限公司(陶板屋)光復南分公司"
"臺中市北區崇德五路345號","1050722","1090721","中餐烹調丙級","新天地國際實業股份有限公司-北區"
"花蓮縣吉安鄉北昌村自強路646號","1050722","1090721","中餐烹調丙級","一道健康素食"
"花蓮縣吉安鄉北昌村自強路646號","1050722","1090721","中餐烹調丙級","一道健康素食"
"臺北市大同區南京西路410號10樓之1","1050722","1090721","中餐烹調丙級","左岸復合式餐廳"
"屏東縣恆春鎮墾丁路6號","1050725","1090724","中餐烹調丙級","凱撒大飯店"
"臺北市大安區光復南路286號B1","1050722","1090721","中餐烹調丙級","王品餐飲股份有限公司(陶板屋)光復南分公司"
